CMDLINE C:\Users\w\sciebo\EA\TP2\venv\Scripts\python.exe main.py --amount-of-cities 18
MEM 4.789062 1657236448.7083
MEM 18.570312 1657236448.8273
MEM 27.292969 1657236448.9498
MEM 32.105469 1657236449.0703
MEM 45.808594 1657236449.1933
MEM 57.398438 1657236449.3243
MEM 66.425781 1657236449.4614
MEM 73.730469 1657236449.5994
MEM 77.992188 1657236449.7303
MEM 87.718750 1657236449.8523
MEM 97.707031 1657236449.9743
MEM 104.136719 1657236450.0923
MEM 108.417969 1657236450.2173
MEM 109.015625 1657236450.3378
MEM 110.773438 1657236450.4638
MEM 112.386719 1657236450.5888
MEM 113.363281 1657236450.7068
MEM 117.050781 1657236450.8318
MEM 122.953125 1657236450.9578
MEM 129.828125 1657236451.0868
MEM 136.960938 1657236451.2078
MEM 142.250000 1657236451.3338
MEM 146.582031 1657236451.4528
MEM 156.000000 1657236451.5748
MEM 158.480469 1657236451.7018
MEM 162.367188 1657236451.8218
MEM 166.621094 1657236451.9448
MEM 169.441406 1657236452.0720
MEM 173.121094 1657236452.1940
MEM 176.652344 1657236452.3120
MEM 180.761719 1657236452.4340
MEM 194.757812 1657236452.5550
MEM 199.171875 1657236452.6790
MEM 203.308594 1657236452.8040
MEM 207.492188 1657236452.9237
MEM 210.398438 1657236453.0473
MEM 213.992188 1657236453.1693
MEM 217.597656 1657236453.2904
MEM 221.386719 1657236453.4143
MEM 225.078125 1657236453.5383
MEM 228.304688 1657236453.6603
MEM 231.980469 1657236453.7843
MEM 235.578125 1657236453.9023
MEM 239.312500 1657236454.0233
MEM 242.859375 1657236454.1463
MEM 245.804688 1657236454.2713
MEM 268.203125 1657236454.3943
MEM 270.953125 1657236454.5193
MEM 273.894531 1657236454.6403
MEM 277.066406 1657236454.7663
MEM 280.015625 1657236454.8893
MEM 283.113281 1657236455.0123
MEM 286.066406 1657236455.1313
MEM 289.398438 1657236455.2524
MEM 292.777344 1657236455.3813
MEM 295.613281 1657236455.5003
MEM 298.132812 1657236455.6243
MEM 301.085938 1657236455.7443
MEM 304.003906 1657236455.8653
MEM 306.890625 1657236455.9953
MEM 309.515625 1657236456.1123
MEM 312.453125 1657236456.2343
MEM 315.101562 1657236456.3563
MEM 317.609375 1657236456.4803
MEM 320.191406 1657236456.6013
MEM 322.886719 1657236456.7223
MEM 325.578125 1657236456.8424
MEM 328.101562 1657236456.9634
MEM 330.578125 1657236457.0922
MEM 219.765625 1657236457.2162
MEM 111.628906 1657236457.3462
